P. Name,P. Mass Class,P. Habitable Class,P. Min Mass (EU),P. Density (EU),Min Mass,Min Mass 3,X
HAT-P-44 c,Jovian,non-habitable,508.7,0.38,0,1017.4,0
HAT-P-45 b,Jovian,non-habitable,249.94,0.07,0,499.88,0
HAT-P-46 b,Jovian,non-habitable,123.85,0.05,0,247.7,0
HAT-P-46 c,Jovian,non-habitable,635.88,0.45,0,1271.76,0
HAT-P-52 b,Jovian,non-habitable,260.28,0.18,0,520.56,0
HAT-P-53 b,Jovian,non-habitable,472.72,0.15,0,945.44,0
HAT-P-54 b,Jovian,non-habitable,241.53,0.2,0,483.06,0
HAT-P-56 b,Jovian,non-habitable,698.24,0.16,0,1396.48,0
HAT-P-65 b,Jovian,non-habitable,167.49,0.02,0,334.98,0
HATS-8 b,Neptunian,non-habitable,43.78,0.05,0,87.56,0
HATS-11 b,Jovian,non-habitable,270.21,0.06,0,540.42,0
HATS-12 b,Jovian,non-habitable,763.03,0.22,0,1526.06,0
HATS-13 b,Jovian,non-habitable,172.6,0.07,0,345.2,0
HATS-14 b,Jovian,non-habitable,340.5,0.22,0,681.0,0
HATS-15 b,Jovian,non-habitable,689.89,0.36,0,1379.78,0
HATS-17 b,Jovian,non-habitable,425.12,0.65,0,850.24,0
HATS-18 b,Jovian,non-habitable,629.14,0.19,0,1258.28,0
HATS-19 b,Jovian,non-habitable,135.74,0.02,0,271.48,0
HATS-20 b,Jovian,non-habitable,86.48,0.13,0,172.96,0
HATS-23 b,Jovian,non-habitable,462.71,0.05,0,925.42,0
HATS-24 b,Jovian,non-habitable,775.77,0.17,0,1551.54,0
HATS-28 b,Jovian,non-habitable,213.24,0.09,0,426.48,0
HATS-32 b,Jovian,non-habitable,292.41,0.11,0,584.82,0
HATS-33 b,Jovian,non-habitable,370.09,0.14,0,740.18,0
HATS-36 b,Jovian,non-habitable,886.81,0.31,0,1773.62,0
HATS-39 b,Jovian,non-habitable,194.75,0.04,0,389.5,0
HATS-40 b,Jovian,non-habitable,505.37,0.09,0,1010.74,0
HATS-41 b,Jovian,non-habitable,3083.44,0.93,1,6166.88,0
HATS-42 b,Jovian,non-habitable,597.59,0.16,0,1195.18,0
HATS-43 b,Jovian,non-habitable,82.98,0.04,0,165.96,0
HATS-44 b,Jovian,non-habitable,178.01,0.1,0,356.02,0
HATS-45 b,Jovian,non-habitable,222.52,0.07,0,445.04,0
HATS-46 b,Jovian,non-habitable,55.0,0.05,0,110.0,0
HATS-50 b,Jovian,non-habitable,123.99,0.06,0,247.98,0
HATS-51 b,Jovian,non-habitable,244.17,0.06,0,488.34,0
HATS-53 b,Jovian,non-habitable,94.87,0.06,0,189.74,0
HATS-59 c,Jovian,non-habitable,4037.84,2.71,1,8075.68,1
HD 142 b,Jovian,non-habitable,397.42,0.33,0,794.84,0
HD 142 c,Jovian,non-habitable,1685.08,1.06,1,3370.16,1
HD 564 b,Jovian,non-habitable,104.92,0.21,0,209.84,0
HD 1461 b,Superterran,non-habitable,6.45,1.16,0,12.9,0
HD 1461 c,Superterran,non-habitable,5.6,1.12,0,11.2,0
HD 1502 b,Jovian,non-habitable,985.61,0.64,0,1971.22,0
HD 1605 b,Jovian,non-habitable,305.22,0.29,0,610.44,0
HD 1605 c,Jovian,non-habitable,1106.43,0.7,1,2212.86,0
HD 1666 b,Jovian,non-habitable,2044.35,1.28,1,4088.7,1
HD 1690 b,Jovian,non-habitable,1939.43,1.22,1,3878.86,1
HD 2039 b,Jovian,non-habitable,1942.61,1.22,1,3885.22,1
HD 2952 b,Jovian,non-habitable,508.7,0.38,0,1017.4,0
HD 3167 d,Superterran,non-habitable,6.9,1.17,0,13.8,0
HD 3651 b,Jovian,non-habitable,73.44,0.2,0,146.88,0
HD 3651 c,Neptunian,non-habitable,28.61,0.2,0,57.22,0
HD 4113 b,Jovian,non-habitable,495.99,0.38,0,991.98,0
HD 4203 b,Jovian,non-habitable,578.65,0.42,0,1157.3,0
HD 4203 c,Jovian,non-habitable,689.93,0.47,0,1379.86,0
HD 4208 b,Jovian,non-habitable,255.62,0.27,0,511.24,0
HD 4308 b,Neptunian,non-habitable,12.88,0.2,0,25.76,0
HD 4313 b,Jovian,non-habitable,731.26,0.5,0,1462.52,0
HD 4732 b,Jovian,non-habitable,753.52,0.51,0,1507.04,0
HD 4732 c,Jovian,non-habitable,753.52,0.51,0,1507.04,0
